rating,name,title,review,date,upvotes,is_certified,iD
5.0,anand jain,super business tool,"product of the year !!  not run of the mill product & only for discerning few .,BB blend ...super business tool .,excellent quality & looks . most innovative .",27 October 2014,5,Verified Purchase,"""RAPX5WDR579PH"""
5.0,"Jeong, Gihoon",Five Stars,Fantastic mobile phone for business man.,15 October 2014,7,Verified Purchase,"""R2L0I71L3THZEZ"""
5.0,ROHIT JAIN,Innovative and productivity tool.,"Amazing ! innovative piece of technology!,Go for it!",16 October 2014,13,Verified Purchase,"""R1VK0RZ4BYCPYE"""
5.0,suresh ramakrishnan,Five Stars,Productivity Behemoth...no less :),30 October 2014,7,Verified Purchase,"""R1FF6FA0SIXAP8"""
5.0,Avnish Jain,Go For it... !! Without Doubt you will start loving it,"The best handset i have ever used. !!,Blackberry passport is awesome in all ways, Innovative, Best Display, Superb Battery life, Physical Keyboard is awesome, and camera is surprisingly great.",15 October 2014,11,Verified Purchase,"""R1XSUYXELSEIXV"""
5.0,Govind Krishnan,Mind Blowing Phone !,"It's designed for professionals,You Can WORK WIDE With This Beast,The Most Innovative Phone Ever,Amazing 3450 Mah Battery,The keyboard can be used for gaming and it's Amazing,BlackBerry 10, the fastest OS named by so many android users",12 October 2014,17,,"""R1LDXJWL72ITEV"""
5.0,ravishankar gopalakrishnan,but happy to have a serious business phone,"A little overpriced, but happy to have a serious business phone.",9 November 2014,6,Verified Purchase,"""RAZKAHH9X9YVX"""
5.0,Ron,Awesome interface. I have been using it for about ...,"There are phones and there are PHONES, this is the latter.,I opened the box and chuckled. Size does matter.,Awesome interface. I have been using it for about 3 days now and am back in love with BB. Good battery backup. Smooth touch (special mention of Key Pad Touch). Out and out business phone that is class apart.,It is not for everyone - only for selected/gifted few  who have a certain character and realise that in a world filled with materialistic aspirations, ""Karma"" outweighs all.",7 November 2014,3,Verified Purchase,"""R1X20LSCMY61B0"""
5.0,Rajesh Zade,very intelligent product. left iPhone for weak battery life,"very intelligent product. left iPhone for weak battery life. Blackberry Passport is having good battery life, hardware. messaging is very good on blackberry. only documents to go sucks. Microsoft Office products should available on Blackberry.",22 October 2014,4,Verified Purchase,"""R1DHMBJN0SXZ86"""
5.0,Abhijit,Most Innovative Smartphone of Year'2014,"Blackberry Passport is very innovative & intelligent effort from Blackberry to create most innovative smartphone of 2014, it is very different from the other smartphones like d LG G-Series, Galaxy's, Xperia's, iPhone's and so many from other smartphone maker's.,USP of My Blackberry Passport Which I found after hands-on with the device are as:,1. Build Quality: it is really Premium and build solidly with steel frame and well finished, so it looks & fell very premium one.,2. Innovative Keyboard: I am fan of this as need to write lot of messages, email's and chatting on Whatsapp and BBM, initially you need to learn a little but it is simple and easy, it is very fast and accurate as well.,3. Screen: Screen is very Sharp, pixel density is QHD (1440X1440), 4.5 Inch Square, very useful for viewing messages, emails & other stuff like pictures, webpages etc.,4. Robust Hardware: Qualcomm Snapdragon 801 Processor 2.2GHz, 3GB LP DDR-3 RAM, 4G Enable, 13MP OIS Front Camera, 4.5 Inch Square Screen 453dpi with Gorilla Glass 3.,5. CAMERA: I am very pleased with the camera quality, it is 13MP with OIS, pictures are very sharp, vivid and colors are very natural, it is first time I found in any blackberry device.,6. Battery: Hats-off to blackberry for such huge battery(3450Mah) it makes my life simpler, no to charge on daily.,7. Blackberry OS 10.3: Blackberry OS 10.3 is refined now having all missing features which I want like easy delete of emails in one go, UI Changes are looks cool, endless app in one folder, Increase in application via Amazon app store, Blackberry blend, Blackberry Assistant, it is totally overhauled now.,I am very happy with Blackberry Passport and I am recommended this device for all who are looking for a device for Serious Mobility (it is for all who want to check email, play games, check pics, webpages, messages, communicate fast, see videos), it is one solution and very very Innovate and very solidly build with all premium material.,Thanks!",11 October 2014,47,,"""R3V8QC907GRH5A"""
1.0,Sudhir sur,One Star,I have sold this phone to other buyer making a loss of 200 usd.,1 December 2014,0,Verified Purchase,"""R3OARS9FYLBOKX"""
1.0,manav,dnt ever look or talk abt it,"Seriously,I m going to ask for refund what an waste for money,50k for a 4.5"" display phone,what d use of expanding upto 128gb if i cant watch videos in a large screen atleast 7"",What a useless ui,its like ccombination of some social apps in a ui with new colour nd font,Cant even play games",16 November 2014,0,,"""R36BINP7ZTAEVD"""
1.0,Vipin Gupta,Pathetic.  to say the least.  why does amazon not have negative star rating,"I used this for abt a week.  My BP rose everytime i had to use it.  If i had changed back to my old phone i would have undergone a bypass.,I dont evèn want to sell it in the market as i can't let anyone else go through the same experience.,Absolute patheric user interface.",9 November 2014,2,Verified Purchase,"""R2WBHPB5M7ZRF4"""
1.0,Vikram,One Star,hard to carry,9 November 2014,0,Verified Purchase,"""R3574WD7U2K0C7"""
2.0,sadananda chaudhury,Two Stars,xiaomi mi3 is much much better than this.41k are you kidding me.,20 October 2014,0,,"""R266QJ192EQPXC"""
1.0,harshvardhan jajodia,price is too high,"I think BlackBerry should stop launching new phones in India very limited buyers and pathetic phone...the dimensions of phone is not very user friendly..difficult to carry,hold and to put in jeans pocket..so my recommendation is go for iPhone 6 or samsung s5..",14 October 2014,6,,"""R3HQ40Z46389NZ"""
1.0,jignesh patel,Absolute nonsense phone,"Its absolutely nonsense phone due to following,- Heavy,- keypad can be operated if you have finger like of kid,- Video screen will be less,- No much apps,- Display like LCD!,- Cant hold in one hand unless otherwise you have hands like ghatotkachh",10 October 2014,15,,"""R2A1VS0JGHBSMS"""
2.0,srujan sujju,Two Stars,"Too pricy, not a worthful buy.",15 October 2014,0,,"""R2V9IEDTCVKH6M"""
1.0,Pavan,old specs,LOL,11 October 2014,6,,"""R4FAWH0IPF2H9"""
4.0,Dev K. Roy,Passport vs HTC One M8 and Iphone 6,"I have all three phones concurrently and would like give an review based on my experience with all three devices but focusing on the Passport primarily. When they tell you that the Passport is a productivity machine I have to agree with the categorization. The Hub is awesome I have all my mail accounts including WhatsApp, Linked, Facebook, Instagram (Igrann Pro) ,google chat, etc. I hear people say is that not an information overload on the Hub? The answer is actually NO this is because you can choose to see what is always displayed and accounts that are displayed when you select them.,Mail -- is butter smooth I cannot say how much better it is than the Gmail app on the HTC M8 or the Mail app on the iPhone 6. The issue I have with Gmail on the HTC(android in general) is that if you have non Gmail accounts you have to rely on the Mail app which is  pretty poor and laggy. Mail on IOS 8.xx is an improvement but you still get ""the message cannot download at this time"" but it does have some nifty features like recognising tracking numbers and dates for appointments etc. The testament of how good the Hub is that even when I in from of my computer I look to reply to emails using my Passport (also the keyboard has a part to play here). The email on the BB is clear and I actually am able to read some reports that I get instead of skimming them as I do both on the M8 and the iPhone 6,This for me is priceless.  The passport is a couple of evolutions ahead of the competition,Other Messaging - Here again while the fact that whatsapp on iPhone and Android are able to compress large videos before sending across the BB 10.3 Whatsapp cannot/does not. This might be a showstopper for some for others. Here I would give the competition the advantage though caveat it that you don't have a single point of integration as the Hub (Snowball for Android is trying to do the same) and No notifications do not count in the integrated hub,Typing - I am pretty fast on the virtual keyboards yet I must say typing on the Passport is pure joy. For all you road warriors its like typing on an IBM Thinkpad after one of those ultraportable laptops you appreciate the key travel and the tactile feel of the keys, App notifications - Here both the M8 and the iPhone 6 are far ahead and I am not sure whether BB10.xx will catch up anytime soon,Apps - This the 800 pound gorilla in the room. Spoiler alert IOS8 wins hands down. The passports implementation of Android 4.4.3 is not ready for the big time yet. I have had some lag performance and crashes and random errors including QNXLauncher is not something or the other do you want to shut it down. I will give a list of apps that I use that work on the device, but all in all it is a step in the right direction but a long way to go still.So the progression from IOS to BB 10.3 is a follows 80% of apps I use on IOS are there on Android 70% of those that are on Android work on bb 10.3 so from IOS to BB 10.3 your app universe shrinks by 40-45%. Is it bad? not really . Is it ideal? Not really.,Apps that I Use and work are as follows (not Exhaustive but what I use),a)Salesforce Classic (better than the native connect to salesforce),b) Engadget,c)Flipboard(a bit troublesome sometimes but generally works),d) Soundhound (again better than native),e) Spotify ( yes works great),f)Guardian,Wsj (again a hit or miss and crashes or freezes often),g) Swarm (Not foursquare),Zomato,h) Pininterest,i)Roku,j)Goal.com,k)Todoist,l)Moneycontrol,Bloomberg,FT,ET,TOI(again better than Native),m) Connect for Garmin (syncs my Vivofit), Whitings ,Training Peaks,n) Luminosity(some scaling issues) ,Duolingo,Apps that I have not been able to get to work,a) Onenote,b)Viber,c) Zygna Poker, Asphalt 7,d) Bubble Ds,BB Assistant - This is slow but I will say awesome even better that Siri (but slower ) One example will highlight this ""I fee like eating a Kebab"" the assistant will take some time but come back with a list of food places with kebab in them where as Siri says ""Sorry I can't look for Restaurants in India"" common,Maps - not as straight forward as Google but not bad and I have side loaded google maps (no google play support so it won't remember your searches) otherwise works quite well,  but Nokia Here maps did not work when side loaded,Battery - I am not so sure yet on this as I do need to currently charge it every day and that could be because I am trying a lot on it everyday. So I will reserve comment on it other than it is better than an M8,Screen - here I feel the M8 might be the best but I love the form factor and clarity and brightness of the screen even at 50% brightness,4g or LTE - this is another reason my review gave it a notch down as I am not happy that the Passport does not support the 2300MHz band in India. Also I have forced 3G selection but it is ( for the new antenna tech and jargon) as good as either my M8 or iPhone 6 maybe a software update will sort this out,Looks - honestly people find the phone strange and I introduce it as the Blackberry TV and some people even believe it. I don't care.,So all in all I give it a 4 Stars because it is my goto phone for work and some play but I carry an iPhone 6 around in the evenings. This is neither practical or feasible for everyone so make your own decisions but for me the passport is here to stay",18 October 2014,126,Verified Purchase,"""RJKB83RNSKFOO"""
4.0,Deepak Puri,The best mobile in the market for handling large email traffic,"The best mobile in the market for handling large email traffic. Battery life is excellent and so is the screen sharpness. You have to get used to the size but it makes reading enjoyable. As usual, case and screen guard for this mobile are not available (Blackberry never bothers to look at this level of customer needs). Excellent voice clarity.",21 October 2014,11,Verified Purchase,"""R26L9YQC26XO20"""
4.0,VARAD AGGARWAL,HIghlyy impressed by the job done by blackberry. this phone is for those who are too bored of the same android everywhere.,"I used an android for around 3 years... then I switched to lumia for 2 years.....,I got really bored of that same OS again and again.....,Then I switched to this. The blackberry passport.,It is no doubt an amazing phone.,* it's got amazing coool features.,* processing is unbelievable,* got a better battery life compared to others.,* the swipe keyboard is responsive and works fine.,* camera is equal as to any other phone with a 13mp. No less. No more.,* speakers are osum! They are tool loud and clear. A 10 on 10 for the speakers,* got 2 app stores, blackberry world and amazon app store. U'll find each and every app on it but few of them cannot work on blackberry OS.,* the keyboard pattern will take a little time to adjust but when u get it. It'll be fun.,* it's got a setting for each and every thing. A blackberry OS has never dissapointed me. And trust me, this one will is their best.,* it has got some apps of its own, not available on android, not soo great but yaa..... it's yours if u have a blackberry.,* the big screen is just beautiful. U'll fall in love with it.,* built is strong and attractive. It is not that difficult to carry.,PROS:-,* when u play a video at full screen, since it's a square screen, u can view it only in the half of the screen.,* 1 app that I really need and didn't work was bookmyshow,* camera of my Nokia lumia 920 was amazing. The pure view of lumias is unbeatable. Miss that.,* out of 32gb given to the phone, 10gb is taken by the OS itself. But yaa it gives u an option of the mem card.,BOTTOM LINE:- this phone gives all the features and functions given by any other phone, but with its own way. I believe a person looking for some change.... something new to use, and bored of other OS must go for it.....,I didn't find it something to be priced at 50k they could have given a 40-45k. But then again the same thing goes for iPhone 6.,Don't buy it if u're a full on app maniac. Buy it if you look for basic apps + some new and impressive operating system.,And there is nothing like it's only for business going boys. It's a complete package. If u're a music lover or a whatsapp guy..... or facebook girl or calling up is ur taste...... u can go for it. Not an issue.,I am having great fun using it.! I guess I am the only one with this in my college :p,And yes, ofcourse the first look on people's face when they see that phone in ur hand. You'll get that attention.!!!,Go for it.",16 November 2014,73,Verified Purchase,"""R22POD2306GUI6"""
5.0,Bhupendra,"Exceptional to see, perfect to use",Every moment with the phone makes me fall in love with it even more. The whole idea of the work wide aspect is awesome. The keyboard is simply the best thing for typing and social buds out there as well as perfect for the people who work and write a lot of emails and also read and edit excel sheets. The entertainment is also pretty awesome. The speakers are the most loud and absolutely crisp and clear. The screen quality is gorgeous. The camera performs the best a BlackBerry phone before and is also at par or at times better than other flagship phones. Am simply loving it and it's worth every penny I've paid. Definitely reccomend.,27 October 2014,7,Verified Purchase,"""R31DQH7NGJT383"""
5.0,Sanjay Tripathy,Absolutely a cool device,"I am definitely delighted with this device. It has everything that a android device has and still has a physical keyboard. super camera, email settings in a ziffy, bright display, and great sound output makes this device an absolute winner....",19 October 2014,9,Verified Purchase,"""R2E7WRLY0APMA6"""
1.0,Ananthasrinias.S.N,"Lost money would never recommend, because two people who bought because of me ...","Misfortune struck me on the day I bought this. Junked this least versatile. Instrument and shifted to Nexus6.,No Life ok. Lost money would never recommend, because two people who bought because of me have cursed enough which would last for life time.It is like TATA vehicle. Impressive on paper but useless when you buy.",25 March 2015,2,Verified Purchase,"""R1J5DMMMRB90G2"""
5.0,vinayak,"Passport ""I LOVE YOU""",A beautiful phone with a superb track pad keyboard. At first it feels like a old design and a bit bulky but in just 1 hour of use it makes you feel amazed with the performance. I have purchased from seller cart to india slp and was quite disapointed with the service as i paid a premium amount for a open box piece  and a demo product infact. Amazon dint really help me out rather than promising me to help me out and later everything turned out to be fake promises. Getting back to the phone the spec is really a modern outcome from snapdragon to add one more point to every one's interest i am using this phone with a 128gb micro sd card and it works flawlessly the battery drains a bit faster than expected and as heard from other users because of android apps so better watch out for the apps compatibility. It doesn't seems to have 3450mah battery as it stand only for a day. I have switched all the backend running apps through application manager but still the same.  If you are looking out for a change from today's phone with the best security then go for it. The price which I have paid for a open box the same seller is selling it at a lower price of rs.4000 to 6000 on another platform so better watch out for the same. To be frank this will be my last purchase from amazon as never expected to be left helpless from them being a loyal customer to them. I would not even recommend amazon anymore. I hope this review to be published. If not here there are many other ways.,30 January 2016,2,Verified Purchase,"""RFMRKF4B74FO7"""
5.0,Shatrugan J.,Passport to Productivity!,"The first thing you notice is that this isn't your usual Rectangular shaped screen.. its a Square Display measured at 4.5"" which is Bigg!!,~* The large display offers an uncompromising experience for viewing content, reading & editing word & excel documents, using maps, managing email and browsing the web. *~,The display is an IPS LCD screen with super high resolutions of 1440 x 1440 pixels on screen and a Pixel Density of 454ppi that beats even the new iPhone 6 or your nexus5.. it also has Corning Gorilla Glass 3 Protection to secure that beautiful display!,Besides that, the Passport packs a 13mp rear Camera with Optical Image Stabilization & a 2mp front cam, also a 2.26 GHz Quad-core Snapdragon 801 Processor customized for BlackBerry!,Along with that..,32GB Built-in Memory.. '3GB RAM',& a 3450 mAh Battery!!.. This trio is a Killer!!,The battery of this phone is tested to last a good 36hrs of PROPER usage (3g, Social Networking, Gaming, MULTITASKING etc) and has a standby time of about 18 DAYS!!,4 Quality Speakers make the Passport 350% more crisp & more louder that the Galaxy s5.,The Most Innovative Feature and probably the most important and the USP of this device is the Keypad..,Now its not a normal keypad.. the keys a capactive that allows the entire keypad to double up as a Trackpad!! For example if you want to scroll up/down while reading or surfing the internet.. you can simply scroll on the physical keypad to move around your screen.. ALSO while typing a sentence if you want to delete an entire word.. you simply swipe from right to left on your keyboard and one word gets deleted per swipe..,Now THAT is something new and innovative..,The Software: BlackBerry 10.3 is NOT your old bb software it's a brand new software and super productive.. things like the BlackBerry Hub which manages ALL your msgs and notifications in ONE Place helps manage your chores all in one go. Interactive Active Frames displaying all open apps.. Video Calling..PICTURE PASSWORD.. 2 different appstores BECAUSE it HAS Alll the APPS that you need..... the amazon app store for android apps is built into the BlackBerry Passport which carries 3 LAC android apps that work on BlackBerry 10.3.. you can even sideload 98% of all Android Apps on the Passport.,All in all its a device completely one of its kind... its Unique.. ppl can make BlackBerry the butt of all jokes all they like but you can't deny that the innovation BlackBerry came up with.. Could not have been expected from companies who's latest innovations were a ""larger screen for the first time"" or something as silly as a Heart rate monitor..,Go for this one..,It's Hip to be Square & it's better to have a Tool of Productivity than a Toy for Gaming!,* * * * *",10 October 2014,79,,"""RMWBBP08ZKQ39"""
5.0,@hgm999,BE SMART BUY PASSPORT,"Technology as its said is best @ hands of blackberry, such a super phone is made with ease of type and scroll.,unless a iphone user or samsung user tries his hands out he wont know what is real technology, they are used to playing candy crush & subway surfer.,with 10.3 the blackberry os has got a leap ahead of competition, Blend the most interactive way to connect mobile to laptop/pc/tablet , camera has improved nearly 100 % from predecessor z30.,battery life is good for entire 1 - 2 days on medium to heavy usage pattern.,typing and surfing was never so ease earlier.,knowing the form factor, let me explain to entire apple and samsung ducks, this is a blackberry and not a no sense device which you guys are using., praise the best or lay to rest.,Emails, BBM Chats( with stickers ),BBM CHANNELS, Presentation, Utliity apps, Nfc, BBM Meetings, File Sharing, Usb otg, Miracast, Wifi Direct, superfast processor, A mammoth Battery, Great camera, Backlit keyboard, Keyboard scrolling, Blackberry Blend( one of worlds most advance way to connect mobile via desktop / laptop / tablet ),Be Smart Buy Blackberry :)",17 October 2014,25,,"""R1M4ZA32D7674C"""
2.0,Amazon Customer,I want to sell this product,"I no longer want this product,I want to sell. Kindly help",9 October 2015,20,Verified Purchase,"""R1RMSJP8IH5ECV"""
5.0,Adil Ali Khan,Haters are going to hate. Ignore them,Many great things can be said about the phone but the one that stands out for me is BATTERY. An astounding 3450mAH that will give any super heavy user a smooth sail through the day without worrying. There are Androids (Except Z3 and Huawei Ascend Mate 7) and iPhones which have the best of almost everything but lack on the battery part. The Passport sums everything up as needed. Enough Said.,12 October 2014,14,,"""R1WX7O5RVGFTEK"""
2.0,Amazon Customer,"I don't find any truth in above said reviews, ...","I don't find any truth in above said reviews, I think Blackberry community is trying hard to post fake reviews  as various users!!",3 January 2015,0,,"""R3GNDI4DNWDNN0"""
1.0,K K Agarwal,Its too bulky and also no difference than the Z30 ...,Its too bulky and also no difference than the Z30 also to state that the quwety key board is not that soft to type and the shape of the passport is too difficult to hold and than type the same. In short not worth the money what payed for.,30 October 2014,3,Verified Purchase,"""RBXJLAIR1TL0V"""
1.0,Sangita Verma,they sold me the bad itmes.,From very first day it is not working. even sometime not switching on. I felt totally cheated by amazon. they sold me the bad itmes.,10 November 2014,2,Verified Purchase,"""R2SGBBA1956BLK"""
